Temp,Pork,Fish,Chicken
24.44,1011.8,1011.8,1011.57
24.49,1011.8,1011.8,1011.59
24.49,1011.8,1011.8,1011.6
24.45,1011.82,1011.82,1011.62
24.46,1011.8,1011.8,1011.61
24.46,1011.8,1011.8,1011.6
24.4,1011.82,1011.82,1011.62
24.39,1011.84,1011.84,1011.64
24.47,1011.86,1011.86,1011.63
24.54,1011.84,1011.84,1011.62
24.47,1011.82,1011.82,1011.64
24.5,1011.84,1011.84,1011.66
24.48,1011.82,1011.82,1011.68
24.5,1011.8,1011.8,1011.67
24.57,1011.8,1011.8,1011.66
24.53,1011.8,1011.8,1011.68
24.49,1011.82,1011.82,1011.7
24.56,1011.8,1011.8,1011.69
24.6,1011.82,1011.82,1011.71
24.59,1011.8,1011.8,1011.72
24.62,1011.8,1011.8,1011.73
24.61,1011.8,1011.8,1011.72
24.61,1011.82,1011.82,1011.71
24.62,1011.8,1011.8,1011.72
24.58,1011.8,1011.8,1011.73
24.57,1011.8,1011.8,1011.72
24.57,1011.82,1011.82,1011.71
24.6,1011.8,1011.8,1011.7
24.7,1011.8,1011.8,1011.69
24.72,1011.82,1011.82,1011.68
24.73,1011.8,1011.8,1011.67
24.73,1011.82,1011.82,1011.69
24.7,1011.84,1011.84,1011.68
24.75,1011.82,1011.82,1011.7
24.76,1011.84,1011.84,1011.72
24.84,1011.82,1011.82,1011.71
24.89,1011.8,1011.8,1011.72
24.87,1011.82,1011.82,1011.73
24.89,1011.8,1011.8,1011.72
24.91,1011.82,1011.82,1011.71
24.93,1011.84,1011.84,1011.7
24.95,1011.82,1011.82,1011.69
24.96,1011.84,1011.84,1011.68
25.03,1011.86,1011.86,1011.7
24.99,1011.84,1011.84,1011.69
25.02,1011.86,1011.86,1011.68
24.96,1011.88,1011.88,1011.67
25,1011.9,1011.9,1011.66
25.02,1011.92,1011.92,1011.65
25.02,1011.9,1011.9,1011.64
25.03,1011.92,1011.92,1011.66
25.07,1011.94,1011.94,1011.65
25.06,1011.92,1011.92,1011.66
25.05,1011.9,1011.9,1011.68
25.03,1011.88,1011.88,1011.67
25.05,1011.9,1011.9,1011.69
25.05,1011.92,1011.92,1011.71
25.16,1011.94,1011.94,1011.72
25.11,1011.92,1011.92,1011.73
25.13,1011.9,1011.9,1011.72
25.17,1011.88,1011.88,1011.73
25.15,1011.86,1011.86,1011.72
25.2,1011.84,1011.84,1011.73
25.23,1011.82,1011.82,1011.72
25.26,1011.84,1011.84,1011.73
25.25,1011.82,1011.82,1011.75
25.24,1011.84,1011.84,1011.77
25.2,1011.82,1011.82,1011.76
25.26,1011.84,1011.84,1011.75
25.25,1011.86,1011.86,1011.74
25.28,1011.88,1011.88,1011.73
25.23,1011.9,1011.9,1011.72
25.28,1011.88,1011.88,1011.71
25.28,1011.9,1011.9,1011.72
25.31,1011.88,1011.88,1011.73
25.38,1011.9,1011.9,1011.72
25.37,1011.92,1011.92,1011.71
25.38,1011.94,1011.94,1011.7
25.35,1011.96,1011.96,1011.69
25.38,1011.94,1011.94,1011.68
25.34,1011.96,1011.96,1011.67
25.34,1011.98,1011.98,1011.69
25.35,1011.96,1011.96,1011.71
25.39,1011.94,1011.94,1011.72
25.3,1011.96,1011.96,1011.71
25.31,1011.94,1011.94,1011.72
25.35,1011.96,1011.96,1011.71
25.36,1011.98,1011.98,1011.7
25.35,1011.96,1011.96,1011.69
25.34,1011.94,1011.94,1011.68
25.4,1011.92,1011.92,1011.67
25.44,1011.94,1011.94,1011.66
25.44,1011.96,1011.96,1011.65
25.45,1011.98,1011.98,1011.64
25.44,1011.96,1011.96,1011.63
25.37,1011.98,1011.98,1011.65
25.37,1011.96,1011.96,1011.64
25.36,1011.98,1011.98,1011.66
25.38,1011.96,1011.96,1011.65
25.37,1011.98,1011.98,1011.66
25.37,1011.96,1011.96,1011.65
25.31,1011.94,1011.94,1011.66
25.31,1011.92,1011.92,1011.68
25.28,1011.9,1011.9,1011.67
25.33,1011.92,1011.92,1011.66
25.27,1011.94,1011.94,1011.68
25.39,1011.92,1011.92,1011.7
25.33,1011.9,1011.9,1011.69
25.33,1011.88,1011.88,1011.68
25.42,1011.86,1011.86,1011.67
25.41,1011.84,1011.84,1011.66
25.26,1011.86,1011.86,1011.65
25.24,1011.84,1011.84,1011.64
25.26,1011.86,1011.86,1011.63
25.37,1011.88,1011.88,1011.65
25.33,1011.86,1011.86,1011.66
25.36,1011.88,1011.88,1011.68
25.38,1011.9,1011.9,1011.67
25.41,1011.88,1011.88,1011.66
25.36,1011.86,1011.86,1011.68
25.36,1011.88,1011.88,1011.7
25.45,1011.9,1011.9,1011.69
25.4,1011.88,1011.88,1011.68
25.43,1011.86,1011.86,1011.7
25.41,1011.88,1011.88,1011.69
25.37,1011.9,1011.9,1011.68
25.35,1011.92,1011.92,1011.67
25.4,1011.9,1011.9,1011.69
25.41,1011.88,1011.88,1011.71
25.32,1011.86,1011.86,1011.72
25.44,1011.88,1011.88,1011.71
25.39,1011.86,1011.86,1011.7
25.37,1011.84,1011.84,1011.72
25.47,1011.86,1011.86,1011.71
25.52,1011.84,1011.84,1011.72
25.51,1011.86,1011.86,1011.73
25.42,1011.88,1011.88,1011.75
25.35,1011.86,1011.86,1011.74
25.39,1011.88,1011.88,1011.73
25.38,1011.86,1011.86,1011.72
25.39,1011.84,1011.84,1011.73
25.42,1011.82,1011.82,1011.75
25.35,1011.8,1011.8,1011.74
25.47,1011.82,1011.82,1011.76
25.56,1011.84,1011.84,1011.75
25.49,1011.82,1011.82,1011.77
25.49,1011.8,1011.8,1011.78
25.51,1011.8,1011.8,1011.79
25.54,1011.82,1011.82,1011.81
25.43,1011.8,1011.8,1011.83
25.42,1011.82,1011.82,1011.82
25.5,1011.84,1011.84,1011.84
25.51,1011.86,1011.86,1011.86
25.22,1011.84,1011.84,1011.88
25.46,1011.86,1011.86,1011.87
25.5,1011.88,1011.88,1011.86
25.44,1011.9,1011.9,1011.88
25.4,1011.88,1011.88,1011.89
25.43,1011.9,1011.9,1011.88
25.39,1011.92,1011.92,1011.87
25.4,1011.94,1011.94,1011.86
25.18,1011.92,1011.92,1011.85
25.38,1011.94,1011.94,1011.87
25.35,1011.96,1011.96,1011.86
25.32,1011.94,1011.94,1011.88
25.3,1011.92,1011.92,1011.89
25.26,1011.9,1011.9,1011.9
25.51,1011.92,1011.92,1011.91
25.62,1011.9,1011.9,1011.92
25.4,1011.88,1011.88,1011.91
25.28,1011.86,1011.86,1011.92
25.38,1011.84,1011.84,1011.91
25.28,1011.82,1011.82,1011.9
25.24,1011.84,1011.84,1011.91
25.2,1011.86,1011.86,1011.9
25.21,1011.84,1011.84,1011.91
25.21,1011.82,1011.82,1011.92
25.37,1011.8,1011.8,1011.94
25.47,1011.8,1011.8,1011.93
25.34,1011.82,1011.82,1011.95
25.54,1011.84,1011.84,1011.94
25.48,1011.86,1011.86,1011.96
25.46,1011.88,1011.88,1011.95
25.44,1011.9,1011.9,1011.97
25.45,1011.92,1011.92,1011.99
25.49,1011.94,1011.94,1011.98
25.42,1011.92,1011.92,1011.97
25.52,1011.9,1011.9,1011.96
25.23,1011.88,1011.88,1011.95
25.34,1011.86,1011.86,1011.94
25.42,1011.88,1011.88,1011.96
25.27,1011.9,1011.9,1011.95
25.29,1011.88,1011.88,1011.97
25.27,1011.9,1011.9,1011.99
25.34,1011.92,1011.92,1012
25.27,1011.9,1011.9,1012.01
25.25,1011.92,1011.92,1012
25.11,1011.94,1011.94,1012.01
25.2,1011.92,1011.92,1012
25.23,1011.9,1011.9,1011.99
25.18,1011.88,1011.88,1011.98
24.9,1011.86,1011.86,1011.97
24.98,1011.84,1011.84,1011.96
25.04,1011.86,1011.86,1011.95
25.12,1011.88,1011.88,1011.94
25.07,1011.9,1011.9,1011.93
25.13,1011.92,1011.92,1011.92
24.9,1011.9,1011.9,1011.91
24.82,1011.88,1011.88,1011.9
24.88,1011.86,1011.86,1011.89
24.9,1011.88,1011.88,1011.9
24.78,1011.86,1011.86,1011.91
24.89,1011.84,1011.84,1011.92
25,1011.82,1011.82,1011.94
24.8,1011.8,1011.8,1011.96
24.66,1011.82,1011.82,1011.95
24.54,1011.8,1011.8,1011.94
24.55,1011.8,1011.8,1011.93
24.64,1011.82,1011.82,1011.92
24.77,1011.84,1011.84,1011.91
24.82,1011.82,1011.82,1011.92
24.8,1011.8,1011.8,1011.94
24.82,1011.82,1011.82,1011.96
25.14,1011.8,1011.8,1011.98
25.02,1011.8,1011.8,1012
24.84,1011.82,1011.82,1012.01
24.67,1011.84,1011.84,1012.02
24.8,1011.82,1011.82,1012.01
24.8,1011.84,1011.84,1012
24.83,1011.86,1011.86,1012.01
24.84,1011.88,1011.88,1012
24.77,1011.9,1011.9,1012.01
24.61,1011.88,1011.88,1012
24.58,1011.9,1011.9,1011.99
24.41,1011.92,1011.92,1012
24.45,1011.9,1011.9,1012.01
24.47,1011.88,1011.88,1012
24.42,1011.86,1011.86,1012.01
24.38,1011.88,1011.88,1012
24.44,1011.9,1011.9,1011.99
24.48,1011.88,1011.88,1012
24.29,1011.86,1011.86,1011.99
24.36,1011.84,1011.84,1012
24.5,1011.86,1011.86,1012.01
24.5,1011.84,1011.84,1012
24.43,1011.82,1011.82,1011.99
24.27,1011.84,1011.84,1011.98
24.06,1011.86,1011.86,1011.97
24.02,1011.88,1011.88,1011.96
24.07,1011.9,1011.9,1011.95
24.18,1011.92,1011.92,1011.97
24.28,1011.9,1011.9,1011.96
24.37,1011.92,1011.92,1011.95
24.02,1011.94,1011.94,1011.97
23.95,1011.96,1011.96,1011.96
23.97,1011.94,1011.94,1011.95
23.78,1011.92,1011.92,1011.97
23.74,1011.94,1011.94,1011.96
23.7,1011.96,1011.96,1011.98
23.79,1011.98,1011.98,1012
23.82,1012,1012,1011.99
23.72,1011.98,1011.98,1012
23.82,1011.96,1011.96,1012.01
23.64,1011.98,1011.98,1012.02
23.75,1012,1012,1012.03
23.82,1011.98,1011.98,1012.02
23.79,1011.96,1011.96,1012.03
24.08,1011.94,1011.94,1012.04
24.1,1011.96,1011.96,1012.06
24.07,1011.94,1011.94,1012.08
24.08,1011.96,1011.96,1012.1
24.02,1011.98,1011.98,1012.09
23.8,1012,1012,1012.08
23.8,1011.98,1011.98,1012.1
23.95,1012,1012,1012.09
23.83,1012.02,1012.02,1012.08
23.83,1012,1012,1012.1
23.91,1011.98,1011.98,1012.12
23.89,1011.96,1011.96,1012.13
23.84,1011.98,1011.98,1012.12
23.81,1011.96,1011.96,1012.13
24,1011.98,1011.98,1012.12
23.79,1011.96,1011.96,1012.11
23.71,1011.98,1011.98,1012.13
23.76,1011.96,1011.96,1012.12
23.61,1011.94,1011.94,1012.11
23.58,1011.92,1011.92,1012.1
23.59,1011.9,1011.9,1012.12
23.43,1011.88,1011.88,1012.13
23.55,1011.86,1011.86,1012.14
23.55,1011.88,1011.88,1012.15
23.41,1011.9,1011.9,1012.14
23.44,1011.92,1011.92,1012.15
23.58,1011.94,1011.94,1012.14
23.39,1011.96,1011.96,1012.13
23.43,1011.94,1011.94,1012.14
23.32,1011.96,1011.96,1012.15
23.47,1011.98,1011.98,1012.16
23.4,1011.96,1011.96,1012.18
23.3,1011.94,1011.94,1012.17
23.23,1011.92,1011.92,1012.16
23.45,1011.9,1011.9,1012.18
23.4,1011.88,1011.88,1012.2
23.44,1011.86,1011.86,1012.19
23.42,1011.84,1011.84,1012.21
23.58,1011.82,1011.82,1012.23
23.53,1011.8,1011.8,1012.25
23.37,1011.8,1011.8,1012.26
23.39,1011.8,1011.8,1012.25
23.53,1011.8,1011.8,1012.24
23.18,1011.8,1011.8,1012.23
23.33,1011.8,1011.8,1012.25
23.2,1011.82,1011.82,1012.26
23.14,1011.84,1011.84,1012.25
23.06,1011.86,1011.86,1012.24
23.18,1011.88,1011.88,1012.25
23.03,1011.86,1011.86,1012.26
23.01,1011.84,1011.84,1012.25
23.14,1011.82,1011.82,1012.26
23.22,1011.8,1011.8,1012.27
23.25,1011.82,1011.82,1012.26
23.18,1011.8,1011.8,1012.25
23.22,1011.82,1011.82,1012.24
23.15,1011.8,1011.8,1012.23
23.22,1011.8,1011.8,1012.22
23.04,1011.82,1011.82,1012.24
23.11,1011.8,1011.8,1012.25
23.12,1011.8,1011.8,1012.24
23.14,1011.82,1011.82,1012.25
23.11,1011.8,1011.8,1012.24
23.11,1011.82,1011.82,1012.25
23.15,1011.8,1011.8,1012.26
23.14,1011.82,1011.82,1012.25
23.03,1011.84,1011.84,1012.26
23.16,1011.82,1011.82,1012.27
23.13,1011.8,1011.8,1012.28
23.06,1011.8,1011.8,1012.29
22.97,1011.8,1011.8,1012.3
23.19,1011.8,1011.8,1012.31
23.18,1011.8,1011.8,1012.32
23.36,1011.82,1011.82,1012.31
23.41,1011.84,1011.84,1012.32
23.35,1011.82,1011.82,1012.33
23.36,1011.84,1011.84,1012.34
23.47,1011.86,1011.86,1012.35
23.72,1011.84,1011.84,1012.34
23.79,1011.86,1011.86,1012.35
23.71,1011.88,1011.88,1012.36
23.75,1011.9,1011.9,1012.37
23.87,1011.88,1011.88,1012.38
23.94,1011.9,1011.9,1012.37
23.78,1011.88,1011.88,1012.36
23.83,1011.9,1011.9,1012.35
23.87,1011.92,1011.92,1012.36
23.96,1011.9,1011.9,1012.37
24.1,1011.88,1011.88,1012.38
24.12,1011.86,1011.86,1012.39
24.14,1011.84,1011.84,1012.4
24.15,1011.86,1011.86,1012.39
24.19,1011.84,1011.84,1012.38
24.16,1011.86,1011.86,1012.39
24.24,1011.88,1011.88,1012.38
24.18,1011.9,1011.9,1012.39
24.2,1011.88,1011.88,1012.38
24.18,1011.9,1011.9,1012.39
24.12,1011.88,1011.88,1012.38
24.14,1011.86,1011.86,1012.39
24.16,1011.84,1011.84,1012.4
24.15,1011.82,1011.82,1012.39
24.26,1011.84,1011.84,1012.38
24.38,1011.82,1011.82,1012.39
24.44,1011.84,1011.84,1012.4
24.45,1011.82,1011.82,1012.39
24.5,1011.84,1011.84,1012.38
24.52,1011.86,1011.86,1012.37
24.58,1011.88,1011.88,1012.36
24.62,1011.86,1011.86,1012.37
24.7,1011.88,1011.88,1012.38
24.65,1011.9,1011.9,1012.39
24.63,1011.88,1011.88,1012.38
24.69,1011.9,1011.9,1012.39
24.77,1011.88,1011.88,1012.4
24.81,1011.86,1011.86,1012.39
24.75,1011.88,1011.88,1012.4
24.84,1011.86,1011.86,1012.39
24.91,1011.84,1011.84,1012.38
24.89,1011.82,1011.82,1012.39
24.92,1011.84,1011.84,1012.38
24.86,1011.82,1011.82,1012.37
24.92,1011.84,1011.84,1012.38
25,1011.82,1011.82,1012.37
25.02,1011.84,1011.84,1012.38
25.09,1011.82,1011.82,1012.39
25.08,1011.84,1011.84,1012.4
25.09,1011.86,1011.86,1012.39
25.13,1011.84,1011.84,1012.38
25.15,1011.82,1011.82,1012.39
25.18,1011.8,1011.8,1012.4
25.14,1011.82,1011.82,1012.39
25.06,1011.84,1011.84,1012.4
25.04,1011.86,1011.86,1012.41
25,1011.88,1011.88,1012.42
24.99,1011.9,1011.9,1012.41
25,1011.88,1011.88,1012.42
25.01,1011.9,1011.9,1012.44
25,1011.92,1011.92,1012.45
25.12,1011.9,1011.9,1012.44
25.06,1011.92,1011.92,1012.45
25.06,1011.9,1011.9,1012.46
25.02,1011.92,1011.92,1012.47
25.04,1011.94,1011.94,1012.48
25.05,1011.92,1011.92,1012.47
25.03,1011.94,1011.94,1012.46
25.05,1011.96,1011.96,1012.45
25.07,1011.98,1011.98,1012.44
25.12,1012,1012,1012.45
25.12,1011.98,1011.98,1012.46
25.19,1012,1012,1012.45
25.15,1012.02,1012.02,1012.44
25.18,1012,1012,1012.45
25.3,1012.02,1012.02,1012.44
25.22,1012,1012,1012.45
25.19,1011.98,1011.98,1012.44
25.29,1011.96,1011.96,1012.45
25.4,1011.94,1011.94,1012.44
25.38,1011.96,1011.96,1012.45
25.34,1011.98,1011.98,1012.46
25.35,1011.96,1011.96,1012.45
25.37,1011.98,1011.98,1012.46
25.4,1012,1012,1012.45
25.32,1012.02,1012.02,1012.44
25.26,1012.04,1012.04,1012.43
25.28,1012.02,1012.02,1012.42
25.29,1012.04,1012.04,1012.44
25.33,1012.02,1012.02,1012.45
25.29,1012.04,1012.04,1012.44
25.33,1012.06,1012.06,1012.45
25.26,1012.08,1012.08,1012.46
25.26,1012.06,1012.06,1012.47
25.3,1012.04,1012.04,1012.48
25.27,1012.02,1012.02,1012.49
25.24,1012,1012,1012.5
25.34,1012.02,1012.02,1012.51
25.33,1012,1012,1012.5
25.39,1012.02,1012.02,1012.49
25.4,1012.04,1012.04,1012.5
25.3,1012.06,1012.06,1012.51
25.26,1012.08,1012.08,1012.5
25.28,1012.1,1012.1,1012.49
25.32,1012.12,1012.12,1012.5
25.34,1012.1,1012.1,1012.49
25.3,1012.12,1012.12,1012.48
25.28,1012.14,1012.14,1012.49
25.28,1012.16,1012.16,1012.5
25.26,1012.14,1012.14,1012.49
25.27,1012.16,1012.16,1012.48
25.27,1012.18,1012.18,1012.47
25.27,1012.2,1012.2,1012.46
25.28,1012.18,1012.18,1012.45
25.25,1012.16,1012.16,1012.46
25.29,1012.18,1012.18,1012.47
25.27,1012.2,1012.2,1012.46
25.28,1012.18,1012.18,1012.45
25.26,1012.16,1012.16,1012.44
25.29,1012.14,1012.14,1012.43
25.28,1012.12,1012.12,1012.44
25.3,1012.1,1012.1,1012.43
25.27,1012.08,1012.08,1012.42
25.28,1012.06,1012.06,1012.44
25.28,1012.08,1012.08,1012.43
25.29,1012.06,1012.06,1012.42
25.29,1012.08,1012.08,1012.44
25.31,1012.1,1012.1,1012.45
25.29,1012.12,1012.12,1012.44
25.3,1012.1,1012.1,1012.43
25.3,1012.12,1012.12,1012.44
25.29,1012.1,1012.1,1012.43
25.3,1012.12,1012.12,1012.42
25.34,1012.14,1012.14,1012.41
25.37,1012.16,1012.16,1012.42
25.37,1012.18,1012.18,1012.44
25.37,1012.16,1012.16,1012.43
25.4,1012.14,1012.14,1012.44
25.42,1012.16,1012.16,1012.45
25.41,1012.18,1012.18,1012.46
25.43,1012.16,1012.16,1012.47
25.44,1012.18,1012.18,1012.48
25.49,1012.16,1012.16,1012.49
25.5,1012.18,1012.18,1012.48
25.49,1012.2,1012.2,1012.49
25.54,1012.18,1012.18,1012.48
25.59,1012.2,1012.2,1012.47
25.58,1012.22,1012.22,1012.48
25.59,1012.24,1012.24,1012.47
25.59,1012.22,1012.22,1012.46
25.63,1012.24,1012.24,1012.47
25.63,1012.22,1012.22,1012.46
25.71,1012.24,1012.24,1012.47
25.78,1012.26,1012.26,1012.46
25.73,1012.24,1012.24,1012.47
25.75,1012.26,1012.26,1012.46
25.75,1012.28,1012.28,1012.47
25.75,1012.3,1012.3,1012.48
25.79,1012.28,1012.28,1012.49
25.82,1012.26,1012.26,1012.48
25.87,1012.24,1012.24,1012.49
25.86,1012.26,1012.26,1012.5
25.85,1012.24,1012.24,1012.51
25.89,1012.26,1012.26,1012.5
25.88,1012.24,1012.24,1012.51
25.9,1012.26,1012.26,1012.5
25.9,1012.24,1012.24,1012.49
25.91,1012.22,1012.22,1012.48
25.91,1012.2,1012.2,1012.49
25.89,1012.18,1012.18,1012.5
25.9,1012.16,1012.16,1012.51
25.88,1012.14,1012.14,1012.52
25.92,1012.16,1012.16,1012.53
25.89,1012.14,1012.14,1012.52
25.89,1012.12,1012.12,1012.51
25.93,1012.1,1012.1,1012.52
25.9,1012.12,1012.12,1012.53
25.89,1012.1,1012.1,1012.54
25.9,1012.12,1012.12,1012.55
25.94,1012.1,1012.1,1012.56
25.97,1012.12,1012.12,1012.55
25.97,1012.1,1012.1,1012.56
26,1012.08,1012.08,1012.55
25.99,1012.06,1012.06,1012.56
25.95,1012.04,1012.04,1012.55
26.04,1012.02,1012.02,1012.54
26.03,1012.04,1012.04,1012.55
26.02,1012.06,1012.06,1012.54
26.04,1012.04,1012.04,1012.53
26.09,1012.06,1012.06,1012.52
26.07,1012.08,1012.08,1012.51
26.14,1012.1,1012.1,1012.52
26.09,1012.12,1012.12,1012.53
26.09,1012.14,1012.14,1012.54
26.12,1012.12,1012.12,1012.55
26.23,1012.14,1012.14,1012.54
26.18,1012.16,1012.16,1012.55
26.2,1012.18,1012.18,1012.54
26.21,1012.16,1012.16,1012.53
26.15,1012.14,1012.14,1012.52
26.18,1012.12,1012.12,1012.53
26.22,1012.14,1012.14,1012.54
26.17,1012.16,1012.16,1012.53
26.24,1012.18,1012.18,1012.54
26.28,1012.2,1012.2,1012.55
26.28,1012.22,1012.22,1012.54
26.32,1012.24,1012.24,1012.53
26.38,1012.22,1012.22,1012.52
26.44,1012.24,1012.24,1012.53
26.5,1012.22,1012.22,1012.54
26.45,1012.24,1012.24,1012.55
26.31,1012.26,1012.26,1012.54
26.3,1012.28,1012.28,1012.55
26.39,1012.3,1012.3,1012.56
26.37,1012.28,1012.28,1012.57
26.47,1012.3,1012.3,1012.58
26.41,1012.32,1012.32,1012.57
26.43,1012.3,1012.3,1012.58
26.36,1012.28,1012.28,1012.57
26.37,1012.3,1012.3,1012.56
26.28,1012.32,1012.32,1012.55
26.34,1012.3,1012.3,1012.54
26.27,1012.32,1012.32,1012.55
26.16,1012.34,1012.34,1012.56
26.24,1012.32,1012.32,1012.57
26.35,1012.34,1012.34,1012.56
26.29,1012.36,1012.36,1012.57
26.31,1012.38,1012.38,1012.58
26.33,1012.36,1012.36,1012.59
26.35,1012.34,1012.34,1012.58
26.3,1012.36,1012.36,1012.59
26.35,1012.34,1012.34,1012.58
26.25,1012.32,1012.32,1012.59
26.23,1012.3,1012.3,1012.6
26.24,1012.32,1012.32,1012.61
26.22,1012.34,1012.34,1012.62
26.22,1012.32,1012.32,1012.63
26.23,1012.34,1012.34,1012.64
26.22,1012.32,1012.32,1012.65
26.24,1012.3,1012.3,1012.64
26.13,1012.28,1012.28,1012.65
26.07,1012.3,1012.3,1012.66
26.04,1012.32,1012.32,1012.68
26.04,1012.3,1012.3,1012.67
26.13,1012.32,1012.32,1012.66
26.14,1012.3,1012.3,1012.65
26.19,1012.32,1012.32,1012.64
26.17,1012.34,1012.34,1012.63
26.05,1012.32,1012.32,1012.62
25.97,1012.34,1012.34,1012.63
26.04,1012.36,1012.36,1012.64
25.87,1012.34,1012.34,1012.63
25.82,1012.32,1012.32,1012.64
25.82,1012.34,1012.34,1012.65
25.86,1012.36,1012.36,1012.66
25.89,1012.38,1012.38,1012.64
26,1012.4,1012.4,1012.66
25.91,1012.38,1012.38,1012.68
25.89,1012.4,1012.4,1012.7
25.76,1012.42,1012.42,1012.69
25.83,1012.44,1012.44,1012.71
25.89,1012.42,1012.42,1012.7
26.08,1012.44,1012.44,1012.69
26.19,1012.42,1012.42,1012.71
26.02,1012.44,1012.44,1012.7
25.86,1012.42,1012.42,1012.72
25.9,1012.4,1012.4,1012.74
25.83,1012.42,1012.42,1012.76
25.79,1012.4,1012.4,1012.75
25.79,1012.38,1012.38,1012.74
25.76,1012.36,1012.36,1012.76
25.9,1012.38,1012.38,1012.75
25.9,1012.36,1012.36,1012.77
25.86,1012.38,1012.38,1012.76
25.77,1012.36,1012.36,1012.78
25.88,1012.38,1012.38,1012.8
25.97,1012.36,1012.36,1012.79
25.93,1012.34,1012.34,1012.81
25.79,1012.36,1012.36,1012.8
25.79,1012.34,1012.34,1012.82
25.73,1012.32,1012.32,1012.81
25.62,1012.34,1012.34,1012.8
25.68,1012.36,1012.36,1012.79
25.74,1012.38,1012.38,1012.78
25.77,1012.36,1012.36,1012.8
25.6,1012.38,1012.38,1012.82
25.61,1012.36,1012.36,1012.84
25.63,1012.38,1012.38,1012.83
25.63,1012.36,1012.36,1012.82
25.5,1012.38,1012.38,1012.84
25.68,1012.4,1012.4,1012.83
25.57,1012.38,1012.38,1012.82
25.57,1012.36,1012.36,1012.84
25.5,1012.38,1012.38,1012.83
25.63,1012.4,1012.4,1012.85
25.45,1012.38,1012.38,1012.84
25.42,1012.36,1012.36,1012.86
25.36,1012.34,1012.34,1012.85
25.49,1012.32,1012.32,1012.87
25.48,1012.3,1012.3,1012.89
25.57,1012.28,1012.28,1012.88
25.37,1012.26,1012.26,1012.87
25.47,1012.28,1012.28,1012.86
25.32,1012.3,1012.3,1012.88
25.5,1012.32,1012.32,1012.9
25.4,1012.34,1012.34,1012.92
25.27,1012.32,1012.32,1012.94
25.44,1012.34,1012.34,1012.96
25.35,1012.36,1012.36,1012.95
25.21,1012.38,1012.38,1012.97
25.26,1012.36,1012.36,1012.99
25.25,1012.34,1012.34,1013.01
25.24,1012.36,1012.36,1013
25.42,1012.38,1012.38,1012.99
25.31,1012.36,1012.36,1013.01
25.38,1012.38,1012.38,1013
25.29,1012.4,1012.4,1013.02
25.26,1012.38,1012.38,1013.01
25.29,1012.4,1012.4,1013
25.21,1012.42,1012.42,1012.99
25.38,1012.4,1012.4,1013.01
25.04,1012.38,1012.38,1013.03
25.2,1012.36,1012.36,1013.02
25.26,1012.38,1012.38,1013.01
25.04,1012.4,1012.4,1013
25.09,1012.42,1012.42,1013.02
24.95,1012.4,1012.4,1013.04
24.8,1012.42,1012.42,1013.06
24.87,1012.44,1012.44,1013.08
25,1012.42,1012.42,1013.1
25.06,1012.44,1012.44,1013.09
25.13,1012.42,1012.42,1013.08
25.28,1012.44,1012.44,1013.07
25.35,1012.42,1012.42,1013.06
25.11,1012.44,1012.44,1013.08
25.06,1012.42,1012.42,1013.07
24.87,1012.44,1012.44,1013.09
