Temp,Chicken,Label
25.36,1011.68,Freshness
25.38,1011.67,Freshness
25.41,1011.66,Freshness
25.36,1011.68,Freshness
25.36,1011.7,Freshness
25.45,1011.69,Freshness
25.4,1011.68,Freshness
25.43,1011.7,Freshness
25.41,1011.69,Freshness
25.37,1011.68,Freshness
25.35,1011.67,Freshness
25.4,1011.69,Freshness
25.41,1011.71,Freshness
25.32,1011.72,Freshness
25.44,1011.71,Freshness
25.39,1011.7,Freshness
25.37,1011.72,Freshness
25.47,1011.71,Freshness
25.52,1011.72,Freshness
25.51,1011.73,Freshness
25.42,1011.75,Freshness
25.35,1011.74,Freshness
25.39,1011.73,Freshness
25.38,1011.72,Freshness
25.39,1011.73,Freshness
25.42,1011.75,Freshness
25.35,1011.74,Freshness
25.47,1011.76,Freshness
25.56,1011.75,Freshness
25.49,1011.77,Freshness
25.49,1011.78,Freshness
25.51,1011.79,Freshness
25.54,1011.81,Freshness
25.43,1011.83,Freshness
25.42,1011.82,Freshness
25.5,1011.84,Freshness
25.51,1011.86,Freshness
25.22,1011.88,Freshness
25.46,1011.87,Freshness
25.5,1011.86,Freshness
25.44,1011.88,Freshness
25.4,1011.89,Freshness
25.43,1011.88,Freshness
25.39,1011.87,Freshness
25.4,1011.86,Freshness
25.18,1011.85,Freshness
25.38,1011.87,Freshness
25.35,1011.86,Freshness
25.32,1011.88,Freshness
25.3,1011.89,Freshness
25.26,1011.9,Freshness
25.51,1011.91,Freshness
25.62,1011.92,Freshness
25.4,1011.91,Freshness
25.28,1011.92,Freshness
25.38,1011.91,Freshness
25.28,1011.9,Freshness
25.24,1011.91,Freshness
25.2,1011.9,Freshness
25.21,1011.91,Freshness
25.21,1011.92,Freshness
25.37,1011.94,Freshness
25.47,1011.93,Freshness
25.34,1011.95,Freshness
25.54,1011.94,Freshness
25.48,1011.96,Freshness
25.46,1011.95,Freshness
25.44,1011.97,Freshness
25.45,1011.99,Freshness
25.49,1011.98,Freshness
25.42,1011.97,Freshness
25.52,1011.96,Freshness
25.23,1011.95,Freshness
25.34,1011.94,Freshness
25.42,1011.96,Freshness
25.27,1011.95,Freshness
25.29,1011.97,Freshness
25.27,1011.99,Freshness
25.34,1012,Freshness
25.27,1012.01,Freshness
25.25,1012,Freshness
25.11,1012.01,Freshness
25.2,1012,Freshness
25.23,1011.99,Freshness
25.18,1011.98,Freshness
24.9,1011.97,Freshness
24.98,1011.96,Freshness
25.04,1011.95,Freshness
25.12,1011.94,Freshness
25.07,1011.93,Freshness
25.13,1011.92,Freshness
24.9,1011.91,Freshness
24.82,1011.9,Freshness
24.88,1011.89,Freshness
24.9,1011.9,Freshness
24.18,1011.97,Freshness
24.28,1011.96,Freshness
24.37,1011.95,Freshness
24.02,1011.97,Freshness
23.95,1011.96,Freshness
23.97,1011.95,Freshness
23.78,1011.97,Freshness
23.74,1011.96,Freshness
23.7,1011.98,Freshness
23.79,1012,Freshness
23.82,1011.99,Freshness
23.72,1012,Freshness
23.82,1012.01,Freshness
23.64,1012.02,Freshness
23.75,1012.03,Freshness
23.82,1012.02,Freshness
23.79,1012.03,Freshness
24.08,1012.04,Freshness
24.1,1012.06,Freshness
24.07,1012.08,Freshness
24.08,1012.1,Freshness
24.02,1012.09,Freshness
23.8,1012.08,Freshness
23.8,1012.1,Freshness
23.95,1012.09,Freshness
23.83,1012.08,Freshness
23.83,1012.1,Freshness
23.91,1012.12,Freshness
23.89,1012.13,Freshness
23.84,1012.12,Freshness
23.81,1012.13,Freshness
24,1012.12,Freshness
23.79,1012.11,Freshness
23.71,1012.13,Freshness
23.76,1012.12,Freshness
23.61,1012.11,Freshness
23.58,1012.1,Freshness
23.59,1012.12,Freshness
23.43,1012.13,Freshness
23.55,1012.14,Freshness
23.55,1012.15,Freshness
23.41,1012.14,Freshness
23.44,1012.15,Freshness
23.58,1012.14,Freshness
23.39,1012.13,Freshness
23.43,1012.14,Freshness
23.32,1012.15,Freshness
23.47,1012.16,Freshness
23.4,1012.18,Freshness
23.3,1012.17,Freshness
23.23,1012.16,Freshness
23.45,1012.18,Freshness
23.4,1012.2,Freshness
23.44,1012.19,Freshness
23.42,1012.21,Freshness
23.58,1012.23,Freshness
23.53,1012.25,Freshness
23.37,1012.26,Freshness
23.39,1012.25,Freshness
23.53,1012.24,Freshness
23.18,1012.23,Freshness
23.33,1012.25,Freshness
23.2,1012.26,Freshness
23.14,1012.25,Freshness
23.06,1012.24,Freshness
23.18,1012.25,Freshness
23.03,1012.26,Freshness
23.01,1012.25,Freshness
23.14,1012.26,Freshness
23.22,1012.27,Freshness
23.25,1012.26,Freshness
23.18,1012.25,Freshness
23.22,1012.24,Freshness
23.15,1012.23,Freshness
23.22,1012.22,Freshness
23.04,1012.24,Freshness
23.11,1012.25,Freshness
23.12,1012.24,Freshness
23.14,1012.25,Freshness
23.11,1012.24,Freshness
23.11,1012.25,Freshness
23.15,1012.26,Freshness
23.14,1012.25,Freshness
23.03,1012.26,Freshness
23.16,1012.27,Freshness
23.13,1012.28,Freshness
23.06,1012.29,Freshness
22.97,1012.3,Freshness
23.19,1012.31,Freshness
23.18,1012.32,Freshness
23.36,1012.31,Freshness
23.41,1012.32,Freshness
23.35,1012.33,Freshness
23.36,1012.34,Freshness
23.47,1012.35,Freshness
23.72,1012.34,Freshness
23.79,1012.35,Freshness
23.71,1012.36,Freshness
23.75,1012.37,Freshness
23.87,1012.38,Freshness
23.94,1012.37,Freshness
23.78,1012.36,Freshness
23.83,1012.35,Freshness
23.87,1012.36,Freshness
23.96,1012.37,Freshness
24.1,1012.38,Freshness
24.12,1012.39,Freshness
24.14,1012.4,Freshness
24.15,1012.39,Freshness
24.19,1012.38,Freshness
24.16,1012.39,Freshness
24.24,1012.38,Freshness
24.18,1012.39,Freshness
24.2,1012.38,Freshness
24.18,1012.39,Freshness
24.12,1012.38,Freshness
24.14,1012.39,Freshness
24.16,1012.4,Freshness
24.15,1012.39,Freshness
24.26,1012.38,Freshness
24.38,1012.39,Freshness
24.44,1012.4,Freshness
24.45,1012.39,Freshness
24.5,1012.38,Freshness
24.52,1012.37,Freshness
24.58,1012.36,Freshness
24.62,1012.37,Freshness
24.7,1012.38,Freshness
24.65,1012.39,Freshness
24.63,1012.38,Freshness
24.69,1012.39,Freshness
24.77,1012.4,Freshness
24.81,1012.39,Freshness
24.75,1012.4,Freshness
24.84,1012.39,Freshness
24.91,1012.38,Freshness
24.89,1012.39,Freshness
24.92,1012.38,Freshness
24.86,1012.37,Freshness
24.92,1012.38,Freshness
25,1012.37,Freshness
25.02,1012.38,Freshness
25.09,1012.39,Freshness
25.08,1012.4,Freshness
25.09,1012.39,Freshness
25.13,1012.38,Freshness
25.15,1012.39,Freshness
25.18,1012.4,Freshness
25.14,1012.39,Freshness
25.06,1012.4,Freshness
25.04,1012.41,Freshness
25,1012.42,Freshness
24.99,1012.41,Freshness
25,1012.42,Freshness
25.01,1012.44,Freshness
25,1012.45,Freshness
25.12,1012.44,Freshness
25.06,1012.45,Freshness
25.06,1012.46,Freshness
25.02,1012.47,Freshness
25.04,1012.48,Freshness
25.05,1012.47,Freshness
25.03,1012.46,Freshness
25.05,1012.45,Freshness
25.07,1012.44,Freshness
25.12,1012.45,Freshness
25.12,1012.46,Freshness
25.19,1012.45,Freshness
25.15,1012.44,Freshness
25.18,1012.45,Freshness
25.3,1012.44,Freshness
25.22,1012.45,Freshness
25.19,1012.44,Freshness
25.29,1012.45,Freshness
25.4,1012.44,Freshness
25.38,1012.45,Freshness
25.34,1012.46,Freshness
25.35,1012.45,Freshness
25.37,1012.46,Freshness
25.4,1012.45,Freshness
25.32,1012.44,Freshness
25.26,1012.43,Freshness
25.28,1012.42,Freshness
25.29,1012.44,Freshness
25.33,1012.45,Freshness
25.29,1012.44,Freshness
25.33,1012.45,Freshness
25.26,1012.46,Freshness
25.26,1012.47,Freshness
25.3,1012.48,Freshness
25.27,1012.49,Freshness
25.24,1012.5,Freshness
25.34,1012.51,Freshness
25.33,1012.5,Freshness
25.39,1012.49,Freshness
25.4,1012.5,Freshness
25.3,1012.51,Freshness
25.26,1012.5,Freshness
25.28,1012.49,Freshness
25.32,1012.5,Freshness
25.34,1012.49,Freshness
25.3,1012.48,Freshness
25.28,1012.49,Freshness
25.28,1012.5,Freshness
25.26,1012.49,Freshness
25.27,1012.48,Freshness
25.27,1012.47,Freshness
25.27,1012.46,Freshness
25.28,1012.45,Freshness
25.25,1012.46,Freshness
25.29,1012.47,Freshness
25.27,1012.46,Freshness
25.28,1012.45,Freshness
25.26,1012.44,Freshness
25.29,1012.43,Freshness
25.28,1012.44,Freshness
25.3,1012.43,Freshness
25.27,1012.42,Freshness
25.28,1012.44,Freshness
25.28,1012.43,Freshness
25.29,1012.42,Freshness
25.29,1012.44,Freshness
25.31,1012.45,Freshness
25.29,1012.44,Freshness
25.3,1012.43,Freshness
25.3,1012.44,Freshness
25.29,1012.43,Freshness
25.3,1012.42,Freshness
25.34,1012.41,Freshness
25.37,1012.42,Freshness
25.37,1012.44,Freshness
25.37,1012.43,Freshness
25.4,1012.44,Freshness
25.42,1012.45,Freshness
25.41,1012.46,Freshness
25.43,1012.47,Freshness
25.44,1012.48,Freshness
25.49,1012.49,Freshness
25.5,1012.48,Freshness
25.49,1012.49,Freshness
25.54,1012.48,Freshness
25.59,1012.47,Freshness
25.58,1012.48,Freshness
25.59,1012.47,Freshness
25.59,1012.46,Freshness
25.63,1012.47,Freshness
25.63,1012.46,Freshness
25.71,1012.47,Freshness
25.78,1012.46,Freshness
25.73,1012.47,Freshness
25.75,1012.46,Freshness
25.75,1012.47,Freshness
25.75,1012.48,Freshness
25.79,1012.49,Freshness
25.82,1012.48,Freshness
25.87,1012.49,Freshness
25.86,1012.5,Freshness
25.85,1012.51,Freshness
25.89,1012.5,Freshness
25.88,1012.51,Freshness
25.9,1012.5,Freshness
25.9,1012.49,Freshness
25.91,1012.48,Freshness
25.91,1012.49,Freshness
25.89,1012.5,Freshness
25.9,1012.51,Freshness
25.88,1012.52,Freshness
25.92,1012.53,Freshness
25.89,1012.52,Freshness
25.89,1012.51,Freshness
25.93,1012.52,Freshness
25.9,1012.53,Freshness
25.89,1012.54,Freshness
25.9,1012.55,Freshness
25.94,1012.56,Freshness
25.97,1012.55,Freshness
25.97,1012.56,Freshness
26,1012.55,Freshness
25.99,1012.56,Freshness
25.95,1012.55,Freshness
26.04,1012.54,Freshness
26.03,1012.55,Freshness
26.02,1012.54,Freshness
26.04,1012.53,Freshness
26.09,1012.52,Freshness
26.07,1012.51,Freshness
26.14,1012.52,Freshness
26.09,1012.53,Freshness
26.09,1012.54,Freshness
26.12,1012.55,Freshness
26.23,1012.54,Freshness
26.18,1012.55,Freshness
26.2,1012.54,Freshness
26.21,1012.53,Freshness
26.15,1012.52,Freshness
26.18,1012.53,Freshness
26.22,1012.54,Freshness
26.17,1012.53,Freshness
26.24,1012.54,Freshness
26.28,1012.55,Freshness
26.28,1012.54,Freshness
26.32,1012.53,Freshness
26.38,1012.52,Freshness
26.44,1012.53,Freshness
26.5,1012.54,Freshness
26.45,1012.55,Freshness
26.31,1012.54,Freshness
26.3,1012.55,Freshness
26.39,1012.56,Freshness
26.37,1012.57,Freshness
26.47,1012.58,Freshness
26.41,1012.57,Freshness
26.43,1012.58,Freshness
26.36,1012.57,Freshness
26.37,1012.56,Freshness
26.28,1012.55,Freshness
26.34,1012.54,Freshness
26.27,1012.55,Freshness
26.16,1012.56,Freshness
26.24,1012.57,Freshness
26.35,1012.56,Freshness
26.29,1012.57,Freshness
26.31,1012.58,Freshness
26.33,1012.59,Freshness
26.35,1012.58,Freshness
26.3,1012.59,Freshness
26.35,1012.58,Freshness
26.25,1012.59,Freshness
26.23,1012.6,Freshness
26.24,1012.61,Freshness
26.22,1012.62,Freshness
26.22,1012.63,Freshness
26.23,1012.64,Freshness
26.22,1012.65,Freshness
26.24,1012.64,Freshness
26.13,1012.65,Freshness
26.07,1012.66,Freshness
26.04,1012.68,Freshness
26.04,1012.67,Freshness
26.13,1012.66,Freshness
26.14,1012.65,Freshness
26.19,1012.64,Freshness
26.17,1012.63,Freshness
26.05,1012.62,Freshness
25.97,1012.63,Freshness
26.04,1012.64,Freshness
25.87,1012.63,Freshness
25.82,1012.64,Freshness
25.82,1012.65,Freshness
25.86,1012.66,Freshness
25.89,1012.64,Freshness
26,1012.66,Freshness
25.91,1012.68,Freshness
25.89,1012.7,Freshness
25.76,1012.69,Freshness
25.83,1012.71,Freshness
25.89,1012.7,Freshness
26.08,1012.69,Freshness
26.19,1012.71,Freshness
26.02,1012.7,Freshness
25.86,1012.72,Freshness
25.9,1012.74,Freshness
25.83,1012.76,Freshness
25.79,1012.75,Freshness
25.79,1012.74,Freshness
25.76,1012.76,Freshness
25.9,1012.75,Freshness
25.9,1012.77,Freshness
25.86,1012.76,Freshness
25.77,1012.78,Freshness
25.88,1012.8,Freshness
25.97,1012.79,Freshness
25.93,1012.81,Freshness
25.79,1012.8,Freshness
25.79,1012.82,Freshness
25.73,1012.81,Freshness
25.62,1012.8,Freshness
25.68,1012.79,Freshness
25.74,1012.78,Freshness
25.77,1012.8,Freshness
25.6,1012.82,Freshness
25.61,1012.84,Freshness
25.63,1012.83,Freshness
25.63,1012.82,Freshness
25.5,1012.84,Freshness
25.68,1012.83,Freshness
25.57,1012.82,Freshness
25.57,1012.84,Freshness
25.5,1012.83,Freshness
25.63,1012.85,Freshness
25.45,1012.84,Freshness
25.42,1012.86,Freshness
25.36,1012.85,Freshness
25.49,1012.87,Freshness
25.48,1012.89,Freshness
25.57,1012.88,Freshness
25.37,1012.87,Freshness
25.47,1012.86,Freshness
25.32,1012.88,Freshness
25.5,1012.9,Freshness
25.4,1012.92,Freshness
25.27,1012.94,Freshness
25.44,1012.96,Freshness
25.35,1012.95,Freshness
25.21,1012.97,Freshness
25.26,1012.99,Freshness
25.25,1013.01,Freshness
25.24,1013,Freshness
25.42,1012.99,Freshness
25.31,1013.01,Freshness
25.38,1013,Freshness
25.29,1013.02,Warning
25.26,1013.01,Warning
25.29,1013,Warning
25.21,1012.99,Warning
25.38,1013.01,Warning
25.04,1013.03,Warning
25.2,1013.02,Warning
25.26,1013.01,Warning
25.04,1013,Warning
25.09,1013.02,Warning
24.95,1013.04,Warning
24.8,1013.06,Warning
24.87,1013.08,Warning
25,1013.1,Warning
25.06,1013.09,Warning
25.13,1013.08,Warning
25.28,1013.07,Warning
25.35,1013.06,Warning
25.11,1013.08,Warning
25.06,1013.07,Warning
24.87,1013.09,Warning
24.89,1013.08,Warning
24.96,1013.07,Warning
24.86,1013.06,Warning
24.56,1013.08,Warning
24.36,1013.07,Warning
24.38,1013.06,Warning
24.56,1013.05,Warning
24.61,1013.04,Warning
24.26,1013.06,Warning
24.71,1013.08,Warning
24.83,1013.07,Warning
24.82,1013.06,Warning
24.72,1013.08,Warning
24.58,1013.1,Warning
24.75,1013.09,Warning
24.75,1013.08,Warning
24.75,1013.07,Warning
24.48,1013.06,Warning
24.48,1013.08,Warning
24.56,1013.1,Warning
24.63,1013.12,Warning
24.76,1013.14,Warning
24.53,1013.13,Warning
24.28,1013.15,Warning
24.6,1013.14,Warning
24.26,1013.13,Warning
24.39,1013.12,Warning
24.51,1013.11,Warning
23.91,1013.13,Warning
23.97,1013.15,Warning
23.93,1013.17,Warning
24.07,1013.16,Warning
24.21,1013.18,Warning
24.26,1013.17,Warning
24.25,1013.16,Warning
24.37,1013.18,Warning
24.47,1013.17,Warning
23.95,1013.16,Warning
23.91,1013.15,Warning
23.91,1013.17,Warning
23.94,1013.19,Warning
23.61,1013.21,Warning
23.88,1013.23,Warning
23.99,1013.25,Warning
24.23,1013.27,Warning
23.95,1013.26,Warning
23.87,1013.25,Warning
24.16,1013.27,Warning
24.21,1013.26,Warning
24.15,1013.28,Warning
24.36,1013.27,Warning
24.3,1013.29,Warning
23.69,1013.31,Warning
23.69,1013.3,Warning
23.62,1013.32,Warning
23.66,1013.31,Warning
23.59,1013.3,Warning
23.75,1013.32,Warning
23.65,1013.34,Warning
23.65,1013.36,Warning
23.84,1013.38,Warning
23.66,1013.4,Warning
23.84,1013.39,Warning
23.83,1013.41,Warning
23.94,1013.43,Warning
23.85,1013.45,Warning
23.78,1013.47,Warning
23.84,1013.46,Warning
23.69,1013.48,Warning
23.77,1013.5,Warning
23.82,1013.52,Warning
23.75,1013.54,Warning
23.75,1013.53,Warning
23.5,1013.52,Warning
23.52,1013.54,Warning
23.63,1013.56,Warning
23.68,1013.55,Warning
23.86,1013.57,Warning
23.57,1013.56,Warning
23.6,1013.58,Warning
23.78,1013.6,Warning
23.87,1013.59,Warning
23.78,1013.61,Warning
23.76,1013.6,Warning
23.93,1013.62,Warning
23.73,1013.64,Warning
23.42,1013.63,Warning
23.63,1013.62,Warning
23.64,1013.61,Warning
23.76,1013.6,Warning
23.86,1013.62,Warning
23.68,1013.64,Warning
23.64,1013.66,Warning
24.06,1013.68,Warning
23.85,1013.7,Warning
23.75,1013.72,Warning
23.86,1013.71,Warning
23.74,1013.7,Warning
24.06,1013.69,Warning
24.01,1013.68,Warning
24.02,1013.7,Warning
24.14,1013.72,Warning
24.15,1013.74,Warning
24.12,1013.76,Warning
24.1,1013.78,Warning
23.85,1013.8,Warning
24.21,1013.79,Warning
24.31,1013.81,Warning
24.35,1013.83,Warning
24.47,1013.85,Warning
24.44,1013.84,Warning
24.45,1013.86,Warning
24.53,1013.88,Warning
24.53,1013.9,Warning
24.44,1013.89,Warning
24.36,1013.88,Warning
24.28,1013.9,Warning
24.4,1013.92,Warning
24.51,1013.91,Warning
24.13,1013.93,Warning
24.19,1013.95,Warning
24.2,1013.97,Warning
24.18,1013.96,Warning
24.35,1013.95,Warning
24.43,1013.94,Warning
24.43,1013.96,Warning
24.42,1013.98,Warning
24.25,1013.97,Warning
24.35,1013.99,Warning
24.58,1014.01,Warning
24.48,1014,Warning
24.59,1014.02,Warning
24.48,1014.01,Warning
24.6,1014,Warning
24.68,1014.02,Warning
24.78,1014.01,Warning
24.77,1014,Warning
24.67,1014.02,Warning
24.74,1014.01,Warning
24.82,1014,Warning
24.88,1014.02,Warning
24.83,1014.01,Warning
24.92,1014,Warning
24.82,1013.99,Warning
24.71,1013.98,Warning
24.71,1013.97,Warning
24.7,1013.99,Warning
24.69,1013.98,Warning
24.46,1014,Warning
24.45,1013.99,Warning
24.23,1014.01,Warning
24.3,1014.03,Warning
24.19,1014.02,Warning
24.58,1014.01,Warning
24.72,1014.03,Warning
24.76,1014.02,Warning
24.86,1014.04,Warning
24.84,1014.06,Warning
24.8,1014.08,Warning
24.87,1014.07,Warning
24.97,1014.06,Warning
25.02,1014.05,Warning
24.91,1014.07,Warning
25.16,1014.06,Warning
24.99,1014.08,Warning
24.92,1014.1,Warning
24.92,1014.09,Warning
25.05,1014.11,Warning
25.16,1014.13,Warning
25.24,1014.15,Warning
25.35,1014.17,Warning
25.32,1014.16,Warning
25.36,1014.15,Warning
25.27,1014.14,Warning
25.35,1014.13,Warning
25.37,1014.12,Warning
25.47,1014.14,Warning
25.4,1014.13,Warning
25.42,1014.12,Warning
25.45,1014.11,Warning
25.41,1014.1,Warning
25.52,1014.09,Warning
25.55,1014.08,Warning
25.63,1014.07,Warning
25.7,1014.09,Warning
25.73,1014.11,Warning
25.73,1014.1,Warning
25.7,1014.09,Warning
25.64,1014.08,Warning
25.68,1014.07,Warning
25.67,1014.06,Warning
25.74,1014.05,Warning
25.73,1014.04,Warning
25.78,1014.03,Warning
25.8,1014.05,Warning
25.79,1014.04,Warning
25.73,1014.03,Warning
25.91,1014.02,Warning
25.92,1014.04,Warning
25.83,1014.06,Warning
25.83,1014.08,Warning
26.02,1014.07,Warning
26.01,1014.06,Warning
25.87,1014.08,Warning
25.93,1014.1,Warning
25.97,1014.09,Warning
25.9,1014.11,Warning
25.9,1014.13,Warning
25.89,1014.15,Warning
26,1014.17,Warning
25.98,1014.16,Warning
25.94,1014.15,Warning
25.98,1014.14,Warning
25.97,1014.13,Warning
26.07,1014.12,Warning
26.01,1014.14,Warning
26.06,1014.16,Warning
26.15,1014.18,Warning
26.22,1014.17,Warning
26.24,1014.19,Warning
26.37,1014.18,Warning
26.36,1014.2,Warning
26.42,1014.22,Warning
26.45,1014.24,Warning
26.44,1014.23,Warning
26.44,1014.25,Warning
26.46,1014.27,Warning
26.48,1014.26,Warning
26.51,1014.25,Warning
26.51,1014.24,Warning
26.57,1014.23,Warning
26.57,1014.25,Warning
26.57,1014.24,Warning
26.59,1014.23,Warning
26.63,1014.22,Warning
26.65,1014.24,Warning
26.66,1014.26,Warning
26.63,1014.28,Warning
26.71,1014.3,Warning
26.68,1014.29,Warning
26.65,1014.28,Warning
26.76,1014.3,Warning
26.76,1014.32,Warning
26.81,1014.31,Warning
26.73,1014.3,Warning
26.73,1014.29,Warning
26.72,1014.28,Warning
26.6,1014.27,Warning
26.61,1014.29,Warning
26.55,1014.31,Warning
26.6,1014.3,Warning
26.7,1014.29,Warning
26.86,1014.28,Warning
26.75,1014.27,Warning
26.62,1014.29,Warning
26.51,1014.28,Warning
26.54,1014.27,Warning
26.53,1014.29,Warning
26.51,1014.31,Warning
26.51,1014.3,Warning
26.5,1014.29,Warning
26.49,1014.31,Warning
26.52,1014.3,Warning
26.54,1014.29,Warning
26.57,1014.31,Warning
26.55,1014.3,Warning
26.57,1014.32,Warning
26.55,1014.31,Warning
26.58,1014.33,Warning
26.72,1014.35,Warning
26.88,1014.37,Warning
26.91,1014.39,Warning
26.77,1014.41,Warning
26.69,1014.4,Warning
26.68,1014.42,Warning
26.71,1014.41,Warning
26.71,1014.4,Warning
26.7,1014.39,Warning
26.7,1014.38,Warning
26.73,1014.4,Warning
26.78,1014.39,Warning
26.73,1014.38,Warning
26.69,1014.4,Warning
26.64,1014.39,Warning
26.58,1014.41,Warning
26.61,1014.4,Warning
26.58,1014.39,Warning
26.55,1014.38,Warning
26.53,1014.37,Warning
26.44,1014.36,Warning
26.44,1014.35,Warning
26.51,1014.37,Warning
26.44,1014.36,Warning
26.53,1014.38,Warning
26.5,1014.37,Warning
26.53,1014.36,Warning
26.5,1014.35,Warning
26.46,1014.34,Warning
26.51,1014.36,Warning
26.46,1014.38,Warning
26.45,1014.37,Warning
26.31,1014.39,Warning
26.34,1014.41,Warning
26.25,1014.4,Warning
26.49,1014.42,Warning
26.54,1014.41,Warning
26.59,1014.4,Warning
26.63,1014.39,Warning
26.57,1014.38,Warning
26.58,1014.4,Warning
26.45,1014.39,Warning
26.44,1014.41,Warning
26.47,1014.4,Warning
26.45,1014.39,Warning
26.43,1014.41,Warning
26.39,1014.43,Warning
26.32,1014.45,Warning
26.34,1014.44,Warning
26.33,1014.46,Warning
26.27,1014.45,Warning
26.21,1014.44,Warning
26.26,1014.43,Warning
26.39,1014.42,Warning
26.33,1014.44,Warning
26.4,1014.43,Warning
26.34,1014.45,Warning
26.32,1014.47,Warning
26.4,1014.49,Warning
26.47,1014.48,Warning
26.36,1014.5,Warning
26.33,1014.49,Warning
26.3,1014.48,Warning
26.34,1014.5,Warning
26.42,1014.49,Warning
26.4,1014.48,Warning
26.44,1014.5,Warning
26.47,1014.49,Warning
26.46,1014.51,Warning
26.32,1014.5,Warning
26.34,1014.52,Warning
26.38,1014.54,Warning
26.24,1014.53,Warning
26.19,1014.52,Warning
26.26,1014.54,Warning
26.29,1014.56,Warning
26.29,1014.55,Warning
26.39,1014.57,Warning
26.28,1014.59,Warning
26.19,1014.7,Warning
26.23,1014.72,Warning
26.25,1014.72,Warning
26.33,1014.74,Warning
26.38,1014.73,Warning
26.38,1014.75,Warning
26.3,1014.75,Warning
26.27,1014.77,Warning
26.36,1014.76,Warning
26.29,1014.75,Warning
26.3,1014.75,Warning
26.29,1014.77,Warning
26.2,1014.79,Warning
26.19,1014.81,Warning
26.21,1014.81,Warning
26.22,1014.83,Warning
26.19,1014.85,Warning
26.17,1014.85,Warning
26.21,1014.85,Warning
26.24,1014.85,Warning
26.2,1014.87,Warning
26.2,1014.86,Warning
26.25,1014.88,Warning
26.02,1014.9,Warning
26.03,1014.92,Warning
26.16,1014.92,Warning
26.14,1014.94,Warning
26.14,1014.93,Warning
26.12,1014.92,Warning
26.15,1014.94,Warning
26.07,1014.96,Warning
26.15,1014.98,Warning
26.1,1014.98,Warning
26.06,1015,Warning
26.16,1014.99,Warning
26.15,1015.01,Warning
26.18,1015,Warning
26.24,1014.99,Warning
26.23,1015.01,Warning
26.15,1015.03,Warning
26.13,1015.03,Warning
26.13,1015.05,Warning
26.06,1015.04,Warning
